"","Pitcher.ID","Total_Seasonal_Residence","First","Second","Third","Fourth","Total_Resident","RespRate","X2_Hydroxy.Benzoic.Acid","X4_Hydroxy.Benzoic.Acid","D.L_._Glycerol.Phosphate","D_Cellobiose","D_Galactonic.Acid.._Lactone","D_Galacturonic.Acid","D_Glucosaminic.Aicd","D_Malic.Acid","D_Mannitol","D_Xylose","X._Amino.Butyric.Acid","Glucose_1_Phosphate","Glycogen","Glycyl_L_Glutamic.Acid","i_Erythritol","Itaconic.Acid","L_Arginine","L_Asparginine","L_Phenylalanine","L_Serine","L_Threonine","N_Acetyl_D_Glucosamine","Phenylethylamine","Putrescine","Pyruvic.Acid.Methyl.Ester","Tween.40","Tween.80","X._Cyclodextrin","X._D_Lactose","X._Ketobutyric.Acid","X._Methyl_D_Glucoside","Amines","Phosphate_carbon","Carbohydrates","Carboxylic_acids","Complex_carbon_sources","trans_resp","trans_D_Galactonic.Acid.Lactone","trans_D_Glucosaminic.Acid","trans_D_Malic.Acid","trans_D_Xylose","trans_Amino.Butyric.Acid","trans_Glycogen","trans_Glycyl.L.Glutamic.Acid","trans_L_Arginine","trans_phenylethylamine","trans_Complex_carbon_sources","TN","TP","TOC","trans_TOC","trans_TN","trans_TP","Treatment"
"1","1_1",45,3,5,1,3,12,0.055241067,0.02366667,0.57133333,0.7493333,0.08333333,0.015,1.3953333,0.9676667,0.083666667,1.5743333,0.011666667,1.0933333,1.309,0.008,0.28366667,0.5083333,0.018,0.4293333,0.9543333,0.7476667,0.55,0.5916667,1.823,0.308,0.263,1.0086667,2.219333,0.9653333,0.004333333,0.63433333,0.478666667,1.9806667,0.2855,1.0291667,0.9450952,0.5655333,0.79925,0.235034182620316,0.122474487139159,0.983700513367763,0.289251909241754,0.108012346516498,1.04562579348446,0.0894427190999916,0.532603670659525,0.655235301246812,0.554977477020464,-0.224081491042186,0.9,1.95,10.5,3.24037034920393,0.948683298050514,0.716114874039433,"addition"
"2","12_1",28,0,0,3,2,5,0.018596975,0,0.151,0.513,1.688,0.637,2.471,2.197,0.058,2.0346667,0.007333333,0.8293333,1.7056667,0.192,1.397,1.3863333,0,0.6136667,1.511,0.6243333,1.5856667,0.5286667,2.35,0,1.1973333,1.5336667,1.809667,1.0563333,0.856666667,0.048,0.009,2.7446667,0.59866667,1.1093333,1.4655714,0.7886,0.9786667,0.136370726330837,0.798122797569397,1.48222805262888,0.240831891575846,0.0856348819115201,0.910677385246828,0.438178046004133,1.18194754536739,0.783368814799262,0,-0.0215641438558956,1,1.4,0,0,1,0.845154254728517,"variable"
"3","13_1",49,0,2,8,0,10,0.026858951,0,0.675,0.2783333,1.20533333,0.744,2.844,2.3956667,1.055666667,1.898,0.007333333,1.3093333,1.8876667,0.081,0.367,1.7693333,0.44666667,0.4323333,1.8883333,0.8976667,1.1066667,0.7686667,2.645333,0.235,1.2043333,1.868,1.651333,1.246,0.424666667,0.01066667,0,2.9733333,0.71966667,1.083,1.5013333,1.1338333,0.85075,0.163887006806519,0.862554346113913,1.54779414005868,1.0274564063745,0.0856348819115201,1.14426102791277,0.284604989415154,0.605805249234438,0.657520570020437,0.484767985741633,-0.161636965601122,0.1,1.1,58,7.61577310586391,0.316227766016838,0.953462589245592,"addition"
"4","14_2",7,0,0,0,0,0,0.014289316,0,0.01966667,0.4843333,0.55033333,0.02266667,0.5036667,0.263,0.014,0.6526667,0.034333333,0.4576667,0.018,0.41,0.062,0.054,0,0.2303333,0.926,0.2366667,0.7886667,0.2846667,1.008667,0,0,0.3996667,1.69,0.9263333,0.001333333,0.064,0,0.1733333,0,0.2511667,0.3624762,0.1680333,0.7569167,0.119537927035732,0.150554541612002,0.512835256198323,0.118321595661992,0.185292560563019,0.676510679886135,0.640312423743285,0.248997991959775,0.479930515804111,0,-0.278502071229611,0,0.8,9.5,3.08220700148449,0,1.11803398874989,"removal"
"5","14_3",27,0,3,2,0,5,0.012310864,0,0.353,0.5336667,0,0.44333333,1.9236667,0.668,0.018,1.3516667,0,1.0973333,1.6546667,0.16733333,0.53033333,0.976,0,0.3916667,1.4663333,0.802,0.8696667,0.512,2.293333,0.222,0.325,1.251,1.437333,0.8526667,0.059333333,0,0,2.7536667,0.2735,1.0941667,1.0535238,0.5754333,0.6291667,0.11095433294829,0.665832809344808,0.817312669668102,0.134164078649987,0,1.04753677739734,0.409063968102789,0.728239884928037,0.625832805148468,0.47116875957559,-0.463359033546936,0.6,1,NA,NA,0.774596669241483,1,"variable"
"6","16_1",2,0,0,0,0,0,0.017114138,0,0.55166667,1.382,1.83266667,0.047,1.003,0.597,0.017666667,1.3603333,0.013333333,0.869,0.4656667,1.43566667,0.342,0.6233333,0.02266667,0.479,1.3976667,0.5973333,0.9876667,0.4726667,2.257,0.208,0.509,0.8893333,1.764,0.9743333,1.017,0.05366667,0.026333333,2.6276667,0.3585,0.9238333,1.2525714,0.4023667,1.29775,0.130821015131362,0.216794833886788,0.772657750883274,0.132916014836437,0.115470052394549,0.932201694913713,1.19819308544157,0.584807660688538,0.692098258919931,0.456070170039655,0.260631995725201,0,3.1,11,3.3166247903554,0,0.567961834247065,"removal"
"7","16_2",4,0,0,2,0,2,0.015535418,0,0.19633333,0.644,0.60366667,0.13366667,1.8933333,0.9176667,0,0.9146667,0,0.4056667,0.9976667,0.48266667,0.12333333,0.9843333,0,0.321,0.7206667,0.3796667,0.7063333,0.334,1.766333,0.062666667,0.017,0.9693333,1.479,0.6156667,0.015,1.25433333,0,2.454,0.03983333,0.8208333,1.139619,0.4516,0.6480833,0.124641156926595,0.365604526777227,0.957949215772945,0,0,0.636919696665129,0.694742160805,0.351188453682635,0.566568618968612,0.250333112072694,-0.43373604150891,0.3,6.2,0,0,0.547722557505166,0.401609664451249,"removal"
"8","16_3",0,0,0,0,0,0,0.015163258,0.02733333,0.805,1.2866667,2.50233333,1.45066667,2.383,0.861,1.522,2.4086667,0.060666667,0.808,1.8573333,0.93766667,0.41866667,0.8533333,0.23266667,0.7166667,2.0386667,0.71,1.4953333,0.4376667,2.396667,0.312666667,0.3436667,1.267,2.412,1.4286667,0.211333333,0.58733333,0.238,2.694,0.32816667,1.572,1.6432857,0.9594667,1.2474167,0.123139181416802,1.2044362457183,0.927900856772964,1.23369364106329,0.246306043368814,0.898888202169769,0.968331900744781,0.647044565698531,0.8465616929675,0.559166046000649,0.22107477286699,0,1,15.5,3.93700393700591,0,1,"removal"
"9","16_4",6,0,0,0,0,0,0.018547255,0,0.194,0.3926667,0,0.03066667,2.3473333,1.9303333,0.016,1.3656667,0.008,0.852,1.74,0.20566667,0.14266667,1.638,0,0.4306667,0.9453333,0.8156667,0.985,0.2363333,2.253667,0,0,1.684,1.691,1.0943333,0,1.33466667,0,2.876,0,1.0663333,1.3537143,0.7054333,0.74775,0.136188307133909,0.17511901667152,1.3893643510613,0.126491106406735,0.0894427190999916,0.923038460737146,0.453504873182196,0.377712417058269,0.656252009520733,0,-0.29068658147208,0,1.45,3.5,1.87082869338697,0,0.8304547985374,"variable"
"10","2_1",16,0,3,1,1,5,0.002476286,0,0.289,0.4443333,0.76066667,1.73566667,2.111,2.0446667,0.000666667,2.1643333,0.018333333,0.473,1.6403333,0.01966667,1.36566667,1.1246667,0.173,0.3773333,2.0223333,0.4446667,1.284,0.4273333,2.151333,0.409666667,0.7516667,1.3396667,1.300333,0.8783333,0.053,0.01166667,0.013666667,2.362,0.58066667,1.0423333,1.2275714,0.8180333,0.5628333,0.0497622949631546,1.31744702739807,1.42991842424664,0.0258198954296875,0.135400638846351,0.687749954561976,0.140237905004318,1.16861741814847,0.614274612856498,0.640052081474625,-0.57477178704879,0,1.5,12.5,3.53553390593274,0,0.816496580927726,"variable"
"11","20_1",57,0,1,1,1,3,0.021597722,0,0.532,0.628,0.68033333,0.399,1.6203333,0.7766667,0.562666667,1.4923333,0.01,0.8856667,1.7973333,0.04066667,0.34,0.9876667,0.08233333,0.5926667,1.4756667,0.7053333,1.1266667,0.42,2.273667,0,0.591,1.0396667,1.774,0.94,0.067333333,0.47266667,0.032333333,2.6323333,0.2955,1.2126667,1.2212857,0.5930667,0.7055,0.146961634449267,0.63166446789415,0.881286956671889,0.750111103104067,0.1,0.941098666453205,0.201659787761467,0.58309518948453,0.769848491587793,0,-0.348848507689268,0.7,6.75,13,3.60555127546399,0.836660026534076,0.384900179459751,"addition"
"12","21_1",54,0,2,5,3,10,0.012857577,0.02966667,0.243,0.9233333,1.114,0.18666667,1.954,1.794,0.096666667,1.4916667,0.079333333,0.836,1.7373333,0.206,0.36133333,1.3383333,0.37133333,0.4866667,1.7153333,0.658,0.6906667,0.4816667,2.297667,0,0.904,1.3826667,1.756667,1.005,0.253333333,2.12533333,0.033666667,2.56,0.452,1.3303333,1.5723333,0.6927667,0.80525,0.113391256276664,0.432049383751441,1.33940285202026,0.310912635639017,0.281661735065308,0.914330356052997,0.453872228716409,0.601110081432677,0.697615008439469,0,-0.216602490770829,1.4,1.25,9,3,1.18321595661992,0.894427190999916,"addition"
"13","22_1",39,0,9,0,2,11,0.004893443,0,0.91733333,0.41,0.978,1.27766667,1.4176667,1.1816667,1.416,1.1166667,0,0.756,0.9453333,0.01033333,0.077,0.7396667,1.44866667,0.2953333,1.2886667,0.7633333,1.046,0.369,1.374,0.114,0.2036667,0.8516667,1.563,1.0426667,0.035666667,1.076,0,2.385,0.15883333,0.6776667,1.095619,0.9266667,0.6629167,0.0699531486067639,1.13033918360818,1.08704493927344,1.18995798245148,0,0.869482604771366,0.101652988150865,0.277488738510232,0.543445765463307,0.337638860322683,-0.41110593771541,0.5,0.9,23,4.79583152331272,0.707106781186548,1.05409255338946,"variable"
"14","22_2",53,0,2,4,0,6,0.012892507,0,0.421,0.5926667,0.809,0.98533333,1.881,0.536,0.722333333,1.5456667,0.357,1.019,1.6646667,0.185,0.402,1.188,0.222,0.4763333,1.267,0.771,1.1913333,0.6453333,2.206,0.373666667,0.214,1.0946667,1.475667,1.1186667,0.050666667,0.92766667,0.005333333,2.2446667,0.29383333,1.1286667,1.3254286,0.6886667,0.7075,0.113545176031393,0.992639577087273,0.732120208708925,0.849901954933626,0.597494769851586,1.00945529866359,0.430116263352131,0.634034699365894,0.690169037265509,0.611282804436703,-0.346017649464744,0.4,2,34,5.8309518948453,0.632455532033676,0.707106781186548,"addition"
"15","23_1",4,0,0,1,0,1,0.005414852,0,0.58233333,0.2066667,1.37633333,0.459,0.963,0.5416667,0.687,1.6656667,0.199333333,1.3203333,1.0826667,1.63166667,0.50733333,0.4443333,0.801,0.1896667,1.9286667,0.3766667,0.7483333,0.3483333,1.455667,0,0.2173333,0.7143333,1.560333,1.4686667,0.976666667,0.829,0.289666667,1.5366667,0.10866667,0.6446667,1.0724286,0.6358333,1.4093333,0.0735856779543411,0.677495387438173,0.735980094839528,0.828854631404084,0.446467616966785,1.14905757035929,1.27736708506208,0.712273353425495,0.435507405218327,0,0.343116755688036,0,0.8,74.5,8.63133825081603,0,1.11803398874989,"variable"
"16","24_1",9,0,0,4,0,4,0.018349663,0,1.415,0.6906667,1.60966667,1.04833333,1.877,1.038,1.871333333,1.688,0.638333333,1.935,1.4563333,2.20033333,0.37133333,0.7003333,1.271,1.374,1.8423333,0.641,1.3976667,0.9593333,2.185,1.331333333,0.9666667,1.431,2.318,2.133,0.414333333,0.214,0.763666667,1.646,1.149,1.0735,1.2401905,1.2650333,1.7664167,0.135460927946032,1.02388150193272,1.018822850156,1.36796686107522,0.798957654071854,1.39104277432436,1.48335205868331,0.609371257937228,1.17217746096741,1.1538341878277,0.568953031313194,0,1.85,15,3.87298334620742,0,0.735214622093808,"removal"
"17","25_2",2,0,0,0,0,0,0.023644235,0,0.39533333,0.502,0.553,0.48866667,2.5656667,2.0756667,0.032666667,1.8173333,0.083666667,0.5053333,1.9953333,0.46933333,0.50966667,1.5213333,0.015,0.3783333,1.286,0.4823333,1.266,0.3796667,2.110667,0.056,0.81,1.1296667,2.024333,0.9073333,0.086333333,0.19366667,0,2.4753333,0.433,1.2486667,1.2507143,0.7208,0.8718333,0.153766820218147,0.69904697267065,1.44071742545164,0.180739223745152,0.289251909241754,0.710867990558022,0.685079068429331,0.713909427028387,0.615088042478473,0.236643191323985,-0.137157043073189,0,3.5,10,3.16227766016838,0,0.534522483824849,"removal"
"18","25_3",60,0,12,1,0,13,0.017438619,0,0.43233333,0.813,0.977,0.47166667,1.1346667,0.7206667,0.559,1.1053333,0.513666667,0.728,1.5013333,0.684,0.21033333,1.117,0.01166667,0.644,1.331,0.8496667,0.8243333,0.3016667,2.098,0.122333333,0.6076667,0.8566667,1.651667,0.785,0.383666667,1.625,0.019666667,0.684,0.365,1.1571667,1.16,0.4934333,0.8760833,0.132055363389754,0.686779928361335,0.848920903264845,0.74766302570075,0.716705425541066,0.853229160308062,0.827042925125413,0.458621118135657,0.802496105909555,0.349761823245477,-0.132294101242438,0.9,0.65,11,3.3166247903554,0.948683298050514,1.24034734589208,"addition"
"19","26_1",60,3,1,3,1,8,0.044471623,0,0,0.644,1.051,0.66733333,1.9243333,0.659,0.257333333,1.3726667,0.303333333,0.7096667,1.5293333,0.06133333,0.081,0.8243333,0.11466667,0.421,1.2296667,0.6113333,1.2903333,0.4503333,1.612667,0.185,0.6786667,0.857,1.593667,1.0576667,0.080333333,1.66433333,0.001333333,2.385,0.43183333,1.0866667,1.3161905,0.5190667,0.69825,0.210882960430662,0.816904725166895,0.811788149704096,0.507280329798032,0.550757054425996,0.842417176937887,0.247655668216982,0.284604989415154,0.648845127900333,0.430116263352131,-0.359178074156851,1.5,1.4,25,5,1.22474487139159,0.845154254728517,"addition"
"20","27_4",12,0,0,0,1,1,0.015535418,0,0.112,0.6453333,0.95666667,0.80166667,2.2363333,2.4396667,0.238,2.0903333,0,0.7983333,2.2133333,0.38833333,0.49433333,1.8053333,0.01033333,0.464,1.342,0.7446667,1.5213333,0.2506667,2.365333,0.004333333,1.432,1.6343333,1.414667,1.3133333,0.004,2.11466667,0,2.6723333,0.71816667,1.4293333,1.7149524,0.8270667,0.7800833,0.124641156926595,0.895358403099005,1.56194324480757,0.487852436706019,0,0.893494991592007,0.623163967186807,0.703088422604156,0.681175454637056,0.0658280563285899,-0.248354570128871,2,19.1,17,4.12310562561766,1.4142135623731,0.228814380978138,"variable"
"21","28_1",14,0,0,0,2,2,0.014759819,0,0.331,0.7876667,0.84566667,0.08733333,0.6003333,0.654,0.017666667,1.532,0.182333333,0.719,1.6106667,1.044,0.03933333,0.9623333,0,0.2876667,1.717,0.7056667,0.9866667,0.405,1.831667,0.191666667,0.1513333,0.904,1.714,0.873,0.031333333,1.26433333,0,2.4506667,0.1715,1.1991667,1.2955714,0.3313333,0.9155833,0.121489995472878,0.295522131150951,0.808702664766229,0.132916014836437,0.427005073740348,0.847938677028003,1.02176318195558,0.198326322004922,0.536345690762963,0.43779751826615,-0.0881939304759195,0.6,1.95,20,4.47213595499958,0.774596669241483,0.716114874039433,"variable"
"22","3_1",19,1,1,0,4,6,0.002484252,0,0.099,1.1343333,0.91366667,1.49566667,1.771,2.0733333,0.292,2.108,1.118,1.1396667,1.9313333,0.786,0.57366667,0.8993333,0.10933333,0.4243333,1.9743333,0.3306667,1.2313333,0.648,2.230667,0.245333333,0.4126667,1.6143333,1.117667,1.485,0.706333333,0.068,0.197,1.5683333,0.329,1.5328333,1.2722857,0.8791333,1.02375,0.049842271216308,1.22297451731424,1.43990739285553,0.540370243444252,1.0573551910309,1.0675517317676,0.88656641037206,0.757407862383274,0.651408704270982,0.495311349557024,0.0234723561851421,1.5,2.15,43.5,6.59545297913646,1.22474487139159,0.681994339470473,"variable"
"23","3_2",3,0,0,0,0,0,0.047994301,0,0.65966667,0.6096667,1.01666667,0.52233333,2.2133333,1.089,1.716,1.8553333,0.060333333,1.5046667,1.4503333,1.56866667,0.74,0.6616667,0.50666667,0.9626667,2.1306667,0.4476667,1.48,1.1473333,2.45,0.701666667,1.5306667,0.8423333,1.860333,2.0223333,0.597666667,1.18066667,0.337333333,1.943,1.11616667,1.03,1.3096667,0.9391333,1.51225,0.219076016487428,0.722726317495081,1.04355162785557,1.30996183150503,0.245628445014009,1.22664856417802,1.25246423901044,0.860232526704263,0.981155798025981,0.837655458407572,0.413598608004887,0,0.55,11.5,3.39116499156263,0,1.34839972492648,"addition"
"24","3_3",53,0,1,1,10,12,0.040239462,0,0.42766667,0.4376667,0.57433333,0.084,1.8013333,0.295,0.216,2.098,0,0.9993333,1.7076667,0.157,0.44033333,0.8743333,0.157,0.149,1.2243333,0.35,1.4993333,0.291,2.265667,0,0.7156667,1.1886667,1.237667,0.6223333,0,0,0,2.6176667,0.35783333,1.0726667,1.2042857,0.5169,0.50425,0.200597761702368,0.289827534923789,0.543139024560011,0.46475800154489,0,0.99966659442036,0.396232255123179,0.663576167444251,0.386005181312376,0,-0.684683102147816,2.3,2.65,29.5,5.43139024560011,1.51657508881031,0.614295116833951,"addition"
"25","4_2",62,1,3,3,5,12,0.029158454,0,0.56133333,0.567,2.25166667,2.24633333,2.334,2.1013333,1.365,2.185,0,0.692,1.6203333,0.01833333,0.252,1.3463333,0.054,0.4116667,2.1106667,0.582,1.838,0.4686667,2.170667,0.548333333,0.6166667,1.6666667,1.372,1.3603333,0.076,0.68966667,0,2.4826667,0.5825,1.0936667,1.5894286,1.1020667,0.7066667,0.170758466847182,1.49877727831723,1.44959763382809,1.16833214455479,0,0.831865373723417,0.135400627768116,0.501996015920445,0.641612577806888,0.740495329492361,-0.347196152814378,0.8,1.4,17.5,4.18330013267038,0.894427190999916,0.845154254728517,"addition"
"26","8_3",50,2,3,1,0,6,0.019050306,0,0.17766667,1.1173333,2.296,1.97333333,2.7036667,1.44,2.021,2.117,0.064333333,1.051,2.3186667,0.242,1.05833333,0.9256667,0.29,0.747,1.618,0.8603333,2.333,0.7093333,2.545333,0.461666667,0.5576667,2.249,1.509667,1.3636667,0.185666667,2.52833333,0,2.8653333,0.50966667,1.718,1.906,1.1905667,0.82525,0.138022845935012,1.40475383252725,1.2,1.42161879559888,0.253640164406192,1.02518291050914,0.491934955049954,1.02875328918065,0.864291617453276,0.679460570599943,-0.192068908248835,1.4,1.7,7.5,2.73861278752583,1.18321595661992,0.76696498884737,"addition"
"27","8_5",37,0,0,0,0,0,0.008435487,0,0.58066667,0.4106667,0.694,1.121,2.0383333,0.8923333,0.642,1.4693333,0.819,0.8923333,1.7006667,0.02733333,0.499,1.16,0.41666667,0.5203333,1.7156667,0.542,0.8193333,0.5553333,2.359333,0.217333333,0.6003333,0.9113333,1.347667,1.578,0.039333333,0.06233333,0.161666667,2.6163333,0.40883333,1.0556667,1.3114762,0.7656333,0.7480833,0.0918449073166281,1.05877287460531,0.944633950268568,0.801249024960405,0.904986187739901,0.944633950268568,0.165327946820857,0.706399320497974,0.721341320042045,0.466190232630414,-0.290240943571766,1.8,1.4,21,4.58257569495584,1.34164078649987,0.845154254728517,"variable"
"28","9_3",8,0,0,0,1,1,0.017206246,0,0.37133333,0.8276667,0.86233333,0.009,2.6693333,1.779,0.602666667,1.5956667,0,1.15,1.7266667,0.48933333,0.52366667,1.2553333,0,0.374,1.4353333,0.6166667,1.026,0.6453333,2.610667,0.374333333,0.4823333,1.2076667,1.375,1.097,0.068,0.69833333,0,2.8286667,0.42833333,1.2771667,1.4072857,0.7789,0.7573333,0.131172580976361,0.0948683298050514,1.33379158791769,0.77631608704187,0,1.07238052947636,0.699523645061409,0.723648167274678,0.611555394056826,0.611827862229238,-0.27795183182329,1.2,1.2,10.5,3.24037034920393,1.09544511501033,0.912870929175277,"removal"
